Gene ID,Symbol,Name,Cytoband,Type
ENSG00000184005,ST6GALNAC3,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3",1p31.1,protein_coding
ENSG00000155816,FMN2,formin 2,1q43,protein_coding
ENSG00000185842,DNAH14,"dynein, axonemal, heavy chain 14",1q42.12,protein_coding
ENSG00000143669,LYST,lysosomal trafficking regulator,1q42.3,protein_coding
ENSG00000039139,DNAH5,"dynein, axonemal, heavy chain 5",5p15.2,protein_coding
ENSG00000158486,DNAH3,"dynein, axonemal, heavy chain 3",16p12.3,protein_coding
ENSG00000116539,ASH1L,"ash1 (absent, small, or homeotic)-like (Drosophila)",1q22,protein_coding
ENSG00000101680,LAMA1,"laminin, alpha 1",18p11.31,protein_coding
ENSG00000259660,DNM1P47,DNM1 pseudogene 47,15q26.3,transcribed_unprocessed_pseudogene
ENSG00000107611,CUBN,cubilin (intrinsic factor-cobalamin receptor),10p13,protein_coding
ENSG00000189056,RELN,reelin,7q22.1,protein_coding
ENSG00000123384,LRP1,low density lipoprotein receptor-related protein 1,12q13.3,protein_coding
ENSG00000116127,ALMS1,Alstrom syndrome 1,2p13.1,protein_coding
ENSG00000128731,HERC2,HECT and RLD domain containing E3 ubiquitin protein ligase 2,15q13.1,protein_coding
ENSG00000132549,VPS13B,vacuolar protein sorting 13 homolog B (yeast),8q22.2,protein_coding
ENSG00000135111,TBX3,T-box 3,12q24.21,protein_coding
ENSG00000184634,MED12,mediator complex subunit 12,Xq13.1,protein_coding
ENSG00000115464,USP34,ubiquitin specific peptidase 34,2p15,protein_coding
ENSG00000275395,FCGBP,Fc fragment of IgG binding protein,19q13.2,protein_coding
ENSG00000153707,PTPRD,"protein tyrosine phosphatase, receptor type, D","9p24.1, 9p23",protein_coding
ENSG00000145362,ANK2,"ankyrin 2, neuronal","4q25, 4q26",protein_coding
ENSG00000130396,MLLT4,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4",6q27,protein_coding
ENSG00000080603,SRCAP,Snf2-related CREBBP activator protein,16p11.2,protein_coding
ENSG00000151150,ANK3,"ankyrin 3, node of Ranvier (ankyrin G)",10q21.2,protein_coding
ENSG00000118058,KMT2A,lysine (K)-specific methyltransferase 2A,11q23.3,protein_coding
ENSG00000172752,COL6A5,"collagen, type VI, alpha 5",3q22.1,protein_coding
ENSG00000107736,CDH23,cadherin-related 23,10q22.1,protein_coding
ENSG00000050030,KIAA2022,KIAA2022,Xq13.3,protein_coding
ENSG00000151067,CACNA1C,"calcium channel, voltage-dependent, L type, alpha 1C subunit",12p13.33,protein_coding
ENSG00000005810,MYCBP2,"MYC binding protein 2, E3 ubiquitin protein ligase",13q22.3,protein_coding
ENSG00000152818,UTRN,utrophin,6q24.2,protein_coding
ENSG00000042832,TG,thyroglobulin,8q24.22,protein_coding
ENSG00000166147,FBN1,fibrillin 1,15q21.1,protein_coding
ENSG00000138688,KIAA1109,KIAA1109,4q27,protein_coding
ENSG00000197653,DNAH10,"dynein, axonemal, heavy chain 10",12q24.31,protein_coding
ENSG00000129514,FOXA1,forkhead box A1,14q21.1,protein_coding
ENSG00000085224,ATRX,alpha thalassemia/mental retardation syndrome X-linked,Xq21.1,protein_coding
ENSG00000124486,USP9X,"ubiquitin specific peptidase 9, X-linked",Xp11.4,protein_coding
ENSG00000197558,SSPO,SCO-spondin,7q36.1,protein_coding
ENSG00000127329,PTPRB,"protein tyrosine phosphatase, receptor type, B",12q15,protein_coding
ENSG00000141736,ERBB2,erb-b2 receptor tyrosine kinase 2,17q12,protein_coding
ENSG00000115423,DNAH6,"dynein, axonemal, heavy chain 6",2p11.2,protein_coding
ENSG00000187240,DYNC2H1,"dynein, cytoplasmic 2, heavy chain 1",11q22.3,protein_coding
ENSG00000127481,UBR4,ubiquitin protein ligase E3 component n-recognin 4,1p36.13,protein_coding
ENSG00000149311,ATM,ATM serine/threonine kinase,11q22.3,protein_coding
ENSG00000163359,COL6A3,"collagen, type VI, alpha 3",2q37.3,protein_coding
ENSG00000188107,EYS,eyes shut homolog (Drosophila),6q12,protein_coding
ENSG00000198734,F5,"coagulation factor V (proaccelerin, labile factor)",1q24.2,protein_coding
ENSG00000047410,TPR,"translocated promoter region, nuclear basket protein",1q31.1,protein_coding
ENSG00000065534,MYLK,myosin light chain kinase,3q21.1,protein_coding
ENSG00000133863,TEX15,testis expressed 15,8p12,protein_coding
ENSG00000146839,ZAN,zonadhesin (gene/pseudogene),7q22.1,protein_coding
ENSG00000111799,COL12A1,"collagen, type XII, alpha 1","6q13, 6q14.1",protein_coding
ENSG00000197102,DYNC1H1,"dynein, cytoplasmic 1, heavy chain 1",14q32.31,protein_coding
ENSG00000103657,HERC1,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1,15q22.31,protein_coding
ENSG00000211896,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker),14q32.33,IG_C_gene
ENSG00000121297,TSHZ3,teashirt zinc finger homeobox 3,19q12,protein_coding
ENSG00000137766,UNC13C,unc-13 homolog C (C. elegans),15q21.3,protein_coding
ENSG00000170927,PKHD1,polycystic kidney and hepatic disease 1 (autosomal recessive),"6p12.3, 6p12.2",protein_coding
ENSG00000166963,MAP1A,microtubule-associated protein 1A,15q15.3,protein_coding
ENSG00000046889,PREX2,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",8q13.2,protein_coding
ENSG00000185010,F8,"coagulation factor VIII, procoagulant component",Xq28,protein_coding
ENSG00000156920,ADGRG4,adhesion G protein-coupled receptor G4,Xq26.3,protein_coding
ENSG00000142208,AKT1,v-akt murine thymoma viral oncogene homolog 1,14q32.33,protein_coding
ENSG00000138759,FRAS1,Fraser extracellular matrix complex subunit 1,4q21.21,protein_coding
ENSG00000197915,HRNR,hornerin,1q21.3,protein_coding
ENSG00000060749,QSER1,glutamine and serine rich 1,11p13,protein_coding
ENSG00000151952,TMEM132D,transmembrane protein 132D,12q24.33,protein_coding
ENSG00000129003,VPS13C,vacuolar protein sorting 13 homolog C (S. cerevisiae),15q22.2,protein_coding
ENSG00000135837,CEP350,centrosomal protein 350kDa,1q25.2,protein_coding
ENSG00000163625,WDFY3,WD repeat and FYVE domain containing 3,4q21.23,protein_coding
ENSG00000205176,REXO1L1P,"REX1, RNA exonuclease 1 homolog (S. cerevisiae)-like 1, pseudogene",8q21.2,transcribed_processed_pseudogene
ENSG00000138778,CENPE,"centromere protein E, 312kDa",4q24,protein_coding
ENSG00000171316,CHD7,chromodomain helicase DNA binding protein 7,8q12.2,protein_coding
ENSG00000257335,MGAM,maltase-glucoamylase (alpha-glucosidase),7q34,protein_coding
ENSG00000155966,AFF2,"AF4/FMR2 family, member 2",Xq28,protein_coding
ENSG00000162105,SHANK2,SH3 and multiple ankyrin repeat domains 2,"11q13.3, 11q13.4",protein_coding
ENSG00000153207,AHCTF1,AT hook containing transcription factor 1,1q44,protein_coding
ENSG00000111642,CHD4,chromodomain helicase DNA binding protein 4,12p13.31,protein_coding
ENSG00000104517,UBR5,ubiquitin protein ligase E3 component n-recognin 5,8q22.3,protein_coding
ENSG00000118997,DNAH7,"dynein, axonemal, heavy chain 7",2q32.3,protein_coding
ENSG00000183914,DNAH2,"dynein, axonemal, heavy chain 2",17p13.1,protein_coding
ENSG00000158683,PKD1L1,polycystic kidney disease 1 like 1,7p12.3,protein_coding
ENSG00000141837,CACNA1A,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",19p13.13,protein_coding
ENSG00000133454,MYO18B,myosin XVIIIB,22q12.1,protein_coding
ENSG00000115850,LCT,lactase,2q21.3,protein_coding
ENSG00000157106,SMG1,SMG1 phosphatidylinositol 3-kinase-related kinase,16p12.3,protein_coding
ENSG00000136531,SCN2A,"sodium channel, voltage gated, type II alpha subunit",2q24.3,protein_coding
ENSG00000188994,ZNF292,zinc finger protein 292,6q14.3,protein_coding
ENSG00000145555,MYO10,myosin X,5p15.1,protein_coding
ENSG00000164309,CMYA5,cardiomyopathy associated 5,5q14.1,protein_coding
ENSG00000187955,COL14A1,"collagen, type XIV, alpha 1",8q24.12,protein_coding
ENSG00000146555,SDK1,sidekick cell adhesion molecule 1,7p22.2,protein_coding
ENSG00000096433,ITPR3,"inositol 1,4,5-trisphosphate receptor, type 3",6p21.31,protein_coding
ENSG00000128591,FLNC,"filamin C, gamma",7q32.1,protein_coding
ENSG00000169933,FRMPD4,FERM and PDZ domain containing 4,Xp22.2,protein_coding
ENSG00000049618,ARID1B,AT rich interactive domain 1B (SWI1-like),6q25.3,protein_coding
ENSG00000114841,DNAH1,"dynein, axonemal, heavy chain 1",3p21.1,protein_coding
ENSG00000143520,FLG2,filaggrin family member 2,1q21.3,protein_coding
ENSG00000152092,ASTN1,astrotactin 1,1q25.2,protein_coding
ENSG00000164946,FREM1,FRAS1 related extracellular matrix 1,9p22.3,protein_coding
ENSG00000133401,PDZD2,PDZ domain containing 2,5p13.3,protein_coding
ENSG00000147485,PXDNL,peroxidasin-like,"8q11.22, 8q11.23",protein_coding
ENSG00000159450,TCHH,trichohyalin,1q21.3,protein_coding
ENSG00000198597,ZNF536,zinc finger protein 536,19q12,protein_coding
ENSG00000198793,MTOR,mechanistic target of rapamycin (serine/threonine kinase),1p36.22,protein_coding
ENSG00000155052,CNTNAP5,contactin associated protein-like 5,2q14.3,protein_coding
ENSG00000176406,RIMS2,regulating synaptic membrane exocytosis 2,8q22.3,protein_coding
ENSG00000128815,WDFY4,WDFY family member 4,10q11.23,protein_coding
ENSG00000048707,VPS13D,vacuolar protein sorting 13 homolog D (S. cerevisiae),"1p36.22, 1p36.21",protein_coding
ENSG00000100354,TNRC6B,trinucleotide repeat containing 6B,22q13.1,protein_coding
ENSG00000012048,BRCA1,"breast cancer 1, early onset",17q21.31,protein_coding
ENSG00000221866,PLXNA4,plexin A4,7q32.3,protein_coding
ENSG00000112038,OPRM1,"opioid receptor, mu 1",6q25.2,protein_coding
ENSG00000091536,MYO15A,myosin XVA,17p11.2,protein_coding
ENSG00000139618,BRCA2,"breast cancer 2, early onset",13q13.1,protein_coding
ENSG00000067955,CBFB,"core-binding factor, beta subunit",16q22.1,protein_coding
ENSG00000142798,HSPG2,heparan sulfate proteoglycan 2,1p36.12,protein_coding
ENSG00000181555,SETD2,SET domain containing 2,3p21.31,protein_coding
ENSG00000104237,RP1,retinitis pigmentosa 1 (autosomal dominant),"8q11.23, 8q12.1",protein_coding
ENSG00000160299,PCNT,pericentrin,21q22.3,protein_coding
ENSG00000185658,BRWD1,bromodomain and WD repeat domain containing 1,21q22.2,protein_coding
ENSG00000203710,CR1,complement component (3b/4b) receptor 1 (Knops blood group),1q32.2,protein_coding
ENSG00000136068,FLNB,"filamin B, beta",3p14.3,protein_coding
ENSG00000185313,SCN10A,"sodium channel, voltage gated, type X alpha subunit",3p22.2,protein_coding
ENSG00000102001,CACNA1F,"calcium channel, voltage-dependent, L type, alpha 1F subunit",Xp11.23,protein_coding
ENSG00000134250,NOTCH2,notch 2,1p12,protein_coding
ENSG00000150893,FREM2,FRAS1 related extracellular matrix protein 2,13q13.3,protein_coding
ENSG00000169436,COL22A1,"collagen, type XXII, alpha 1","8q24.23, 8q24.3",protein_coding
ENSG00000197603,C5orf42,chromosome 5 open reading frame 42,5p13.2,protein_coding
ENSG00000188153,COL4A5,"collagen, type IV, alpha 5",Xq22.3,protein_coding
ENSG00000002746,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1","7p14.1, 7p13",protein_coding
ENSG00000090889,KIF4A,kinesin family member 4A,Xq13.1,protein_coding
ENSG00000150275,PCDH15,protocadherin-related 15,10q21.1,protein_coding
ENSG00000029534,ANK1,"ankyrin 1, erythrocytic",8p11.21,protein_coding
ENSG00000171495,MROH2B,maestro heat-like repeat family member 2B,5p13.1,protein_coding
ENSG00000079102,RUNX1T1,"runt-related transcription factor 1; translocated to, 1 (cyclin D-related)",8q21.3,protein_coding
ENSG00000141338,ABCA8,"ATP-binding cassette, sub-family A (ABC1), member 8",17q24.2,protein_coding
ENSG00000144229,THSD7B,"thrombospondin, type I, domain containing 7B",2q22.1,protein_coding
ENSG00000179532,DNHD1,dynein heavy chain domain 1,11p15.4,protein_coding
ENSG00000148408,CACNA1B,"calcium channel, voltage-dependent, N type, alpha 1B subunit",9q34.3,protein_coding
ENSG00000153820,SPHKAP,"SPHK1 interactor, AKAP domain containing",2q36.3,protein_coding
ENSG00000116183,PAPPA2,pappalysin 2,1q25.2,protein_coding
ENSG00000198589,LRBA,"LPS-responsive vesicle trafficking, beach and anchor containing",4q31.3,protein_coding
ENSG00000204186,ZDBF2,"zinc finger, DBF-type containing 2",2q33.3,protein_coding
ENSG00000105429,MEGF8,multiple EGF-like-domains 8,19q13.2,protein_coding
ENSG00000139687,RB1,retinoblastoma 1,13q14.2,protein_coding
ENSG00000164190,NIPBL,Nipped-B homolog (Drosophila),5p13.2,protein_coding
ENSG00000076356,PLXNA2,plexin A2,1q32.2,protein_coding
ENSG00000183454,GRIN2A,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A",16p13.2,protein_coding
ENSG00000174844,DNAH12,"dynein, axonemal, heavy chain 12",3p14.3,protein_coding
ENSG00000196924,FLNA,"filamin A, alpha",Xq28,protein_coding
ENSG00000147251,DOCK11,dedicator of cytokinesis 11,Xq24,protein_coding
ENSG00000137076,TLN1,talin 1,9p13.3,protein_coding
ENSG00000033122,LRRC7,leucine rich repeat containing 7,1p31.1,protein_coding
ENSG00000038219,BOD1L1,biorientation of chromosomes in cell division 1-like 1,4p15.33,protein_coding
ENSG00000156218,ADAMTSL3,ADAMTS-like 3,15q25.2,protein_coding
ENSG00000067798,NAV3,neuron navigator 3,12q21.2,protein_coding
ENSG00000141431,ASXL3,additional sex combs like transcriptional regulator 3,18q12.1,protein_coding
ENSG00000162849,KIF26B,kinesin family member 26B,1q44,protein_coding
ENSG00000171587,DSCAM,Down syndrome cell adhesion molecule,21q22.2,protein_coding
ENSG00000173064,HECTD4,HECT domain containing E3 ubiquitin protein ligase 4,12q24.13,protein_coding
ENSG00000010818,HIVEP2,human immunodeficiency virus type I enhancer binding protein 2,6q24.2,protein_coding
ENSG00000086570,FAT2,FAT atypical cadherin 2,5q33.1,protein_coding
ENSG00000142449,FBN3,fibrillin 3,19p13.2,protein_coding
ENSG00000165164,CFAP47,cilia and flagella associated protein 47,Xp21.1,protein_coding
ENSG00000196159,FAT4,FAT atypical cadherin 4,4q28.1,protein_coding
ENSG00000000971,CFH,complement factor H,1q31.3,protein_coding
ENSG00000175054,ATR,ATR serine/threonine kinase,3q23,protein_coding
ENSG00000122728,TAF1L,"TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa-like",9p21.1,protein_coding
ENSG00000135749,PCNXL2,pecanex-like 2 (Drosophila),1q42.2,protein_coding
ENSG00000065361,ERBB3,erb-b2 receptor tyrosine kinase 3,12q13.2,protein_coding
ENSG00000138336,TET1,tet methylcytosine dioxygenase 1,10q21.3,protein_coding
ENSG00000100888,CHD8,chromodomain helicase DNA binding protein 8,14q11.2,protein_coding
ENSG00000104447,TRPS1,trichorhinophalangeal syndrome I,8q23.3,protein_coding
ENSG00000115414,FN1,fibronectin 1,2q35,protein_coding
ENSG00000066777,ARFGEF1,ADP-ribosylation factor guanine nucleotide-exchange factor 1 (brefeldin A-inhibited),8q13.2,protein_coding
ENSG00000206384,COL6A6,"collagen, type VI, alpha 6",3q22.1,protein_coding
ENSG00000188906,LRRK2,leucine-rich repeat kinase 2,12q12,protein_coding
ENSG00000038382,TRIO,trio Rho guanine nucleotide exchange factor,5p15.2,protein_coding
ENSG00000198300,PEG3,paternally expressed 3,19q13.43,protein_coding
ENSG00000095951,HIVEP1,human immunodeficiency virus type I enhancer binding protein 1,6p24.1,protein_coding
ENSG00000149256,TENM4,teneurin transmembrane protein 4,11q14.1,protein_coding
ENSG00000115524,SF3B1,"splicing factor 3b, subunit 1, 155kDa",2q33.1,protein_coding
ENSG00000078018,MAP2,microtubule-associated protein 2,2q34,protein_coding
ENSG00000005108,THSD7A,"thrombospondin, type I, domain containing 7A",7p21.3,protein_coding
ENSG00000134376,CRB1,"crumbs family member 1, photoreceptor morphogenesis associated",1q31.3,protein_coding
ENSG00000171634,BPTF,bromodomain PHD finger transcription factor,17q24.2,protein_coding
ENSG00000180113,TDRD6,tudor domain containing 6,6p12.3,protein_coding
ENSG00000198646,NCOA6,nuclear receptor coactivator 6,20q11.22,protein_coding
ENSG00000196313,POM121,POM121 transmembrane nucleoporin,7q11.23,protein_coding
ENSG00000147133,TAF1,"TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa",Xq13.1,protein_coding
ENSG00000178104,PDE4DIP,phosphodiesterase 4D interacting protein,1q21.2,protein_coding
ENSG00000123104,ITPR2,"inositol 1,4,5-trisphosphate receptor, type 2",12p11.23,protein_coding
ENSG00000279576,MALAT1,metastasis associated lung adenocarcinoma transcript 1 (non-protein coding),11q13.1,protein_coding
ENSG00000174197,MGA,"MGA, MAX dimerization protein",15q15.1,protein_coding
ENSG00000156687,UNC5D,unc-5 homolog D (C. elegans),8p12,protein_coding
ENSG00000118322,ATP10B,"ATPase, class V, type 10B",5q34,protein_coding
ENSG00000215498,FAM230B,"family with sequence similarity 230, member B (non-protein coding)",22q11.21,processed_transcript
ENSG00000171988,JMJD1C,jumonji domain containing 1C,10q21.3,protein_coding
ENSG00000143776,CDC42BPA,CDC42 binding protein kinase alpha (DMPK-like),1q42.13,protein_coding
ENSG00000145934,TENM2,teneurin transmembrane protein 2,5q34,protein_coding
ENSG00000041515,MYO16,myosin XVI,13q33.3,protein_coding
ENSG00000184675,AMER1,APC membrane recruitment protein 1,Xq11.2,protein_coding
ENSG00000214814,FER1L6,fer-1-like family member 6,8q24.13,protein_coding
ENSG00000178209,PLEC,plectin,8q24.3,protein_coding
ENSG00000204961,PCDHA9,protocadherin alpha 9,5q31.3,protein_coding
ENSG00000197386,HTT,huntingtin,4p16.3,protein_coding
ENSG00000123636,BAZ2B,"bromodomain adjacent to zinc finger domain, 2B",2q24.2,protein_coding
ENSG00000196569,LAMA2,"laminin, alpha 2",6q22.33,protein_coding
ENSG00000165899,OTOGL,otogelin-like,12q21.31,protein_coding
ENSG00000104093,DMXL2,Dmx-like 2,15q21.2,protein_coding
ENSG00000148143,ZNF462,zinc finger protein 462,9q31.2,protein_coding
ENSG00000155085,AK9,adenylate kinase 9,6q21,protein_coding
ENSG00000167210,LOXHD1,lipoxygenase homology domains 1,18q21.1,protein_coding
ENSG00000165194,PCDH19,protocadherin 19,Xq22.1,protein_coding
ENSG00000147724,FAM135B,"family with sequence similarity 135, member B",8q24.23,protein_coding
ENSG00000196367,TRRAP,transformation/transcription domain-associated protein,7q22.1,protein_coding
ENSG00000132694,ARHGEF11,Rho guanine nucleotide exchange factor (GEF) 11,1q23.1,protein_coding
ENSG00000167306,MYO5B,myosin VB,18q21.1,protein_coding
ENSG00000154310,TNIK,TRAF2 and NCK interacting kinase,"3q26.2, 3q26.31",protein_coding
ENSG00000196876,SCN8A,"sodium channel, voltage gated, type VIII alpha subunit",12q13.13,protein_coding
ENSG00000101972,STAG2,stromal antigen 2,Xq25,protein_coding
ENSG00000070961,ATP2B1,"ATPase, Ca++ transporting, plasma membrane 1",12q21.33,protein_coding
ENSG00000107290,SETX,senataxin,9q34.13,protein_coding
ENSG00000187323,DCC,DCC netrin 1 receptor,18q21.2,protein_coding
ENSG00000137474,MYO7A,myosin VIIA,11q13.5,protein_coding
ENSG00000101745,ANKRD12,ankyrin repeat domain 12,18p11.22,protein_coding
ENSG00000109061,MYH1,"myosin, heavy chain 1, skeletal muscle, adult",17p13.1,protein_coding
ENSG00000250423,KIAA1210,KIAA1210,Xq24,protein_coding
ENSG00000133020,MYH8,"myosin, heavy chain 8, skeletal muscle, perinatal",17p13.1,protein_coding
ENSG00000147050,KDM6A,lysine (K)-specific demethylase 6A,Xp11.3,protein_coding
ENSG00000173230,GOLGB1,golgin B1,3q13.33,protein_coding
ENSG00000007314,SCN4A,"sodium channel, voltage gated, type IV alpha subunit",17q23.3,protein_coding
ENSG00000197969,VPS13A,vacuolar protein sorting 13 homolog A (S. cerevisiae),9q21.2,protein_coding
ENSG00000005339,CREBBP,CREB binding protein,16p13.3,protein_coding
ENSG00000125107,CNOT1,"CCR4-NOT transcription complex, subunit 1",16q21,protein_coding
ENSG00000092054,MYH7,"myosin, heavy chain 7, cardiac muscle, beta",14q11.2,protein_coding
ENSG00000138246,DNAJC13,"DnaJ (Hsp40) homolog, subfamily C, member 13",3q22.1,protein_coding
ENSG00000165288,BRWD3,bromodomain and WD repeat domain containing 3,Xq21.1,protein_coding
ENSG00000164061,BSN,bassoon presynaptic cytomatrix protein,3p21.31,protein_coding
